Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Work Location,Division/Work Unit,Residency Requirement,Salary From Annual,Salary To Annual,Title Seniority,Borough,Salary Spread,Is Full Time,Is External,Career Level Encoded,Job Category Encoded,Agency Encoded,Borough Encoded,Title Seniority Encoded,Title Classification Encoded,Posting Type Encoded
611556,FINANCIAL INFO SVCS AGENCY,Internal,1,LEGAL-ADMINISTRATIVE MANAGER,ADM MANAGER-NON-MGRL FRM M1/M2,Competitive-1,1,Legal Affairs,F,Experienced (non-manager),5 Manhattan West,ADM/Legal,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",60718.0,90773.0,Manager,Manhattan,30055.0,1,0,3,160,31,2,3,0,1
608132,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Senior Project Controls Specialist,ADMINISTRATIVE PROJECT MANAGER,Competitive-1,0,"Technology, Data & Innovation Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),30-30 Thomson Ave L I City Qns,DDC/DIV/ Placeholder1,New York City Residency is not required for this position.,58682.0,128750.0,Senior,Queens,70068.0,1,0,3,181,20,4,5,0,1
626518,NYC HOUSING AUTHORITY,External,1,DESIGN PROGRAM MANAGER,ASSOCIATE URBAN DESIGNER,Competitive-1,2,"Engineering, Architecture, & Planning",F,Experienced (non-manager),VP Office-Design/Construction,VP - RE Design & Construction,NYCHA has no residency requirements.,81571.0,119554.0,Manager,Other,37983.0,1,1,3,123,43,3,3,0,0
622919,DEPT OF HEALTH/MENTAL HYGIENE,External,1,".Net Developer,  Bureau of Application Development and Database Administration",COMPUTER SYSTEMS MANAGER,Competitive-1,0,"Health Technology, Data & Innovation",F,Experienced (non-manager),42-09 28th Street,App. Dev. & DB Administration,New York City Residency is not required for this title.,58700.0,137712.0,Standard,Other,79012.0,1,1,3,159,22,3,6,0,0
620244,DEPT OF DESIGN & CONSTRUCTION,External,1,Fleet Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,1,Building Operations & Maintenance,F,Experienced (non-manager),30-30 Thomson Ave L I City Qns,OPS/Fleet Management,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",47418.0,54531.0,Mid,Queens,7113.0,1,1,3,50,20,4,4,0,0
592820,DEPT OF ENVIRONMENT PROTECTION,Internal,1,FLEET SAFETY AND COMPLIANCE OFFICER,ADMINISTRATIVE QUALITY ASSURAN,Competitive-1,0,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),59-17 Junction Blvd Corona Ny,FLEET ADMINISTRATION,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",63332.0,147388.0,Standard,Queens,84056.0,1,0,3,169,21,4,6,0,1
619272,DEPT. OF HOMELESS SERVICES,External,1,Budget Analyst,ASSOCIATE STAFF ANALYST,Competitive-1,0,Social Services,F,Experienced (non-manager),"33 Beaver St, New York Ny",DHS Executive Office,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",70611.0,105138.0,Standard,Manhattan,34527.0,1,1,3,170,26,2,6,0,0
604960,DEPARTMENT OF TRANSPORTATION,Internal,4,Assistant Team Leader,ASSISTANT CIVIL ENGINEER,Competitive-1,0,"Engineering, Architecture, & Planning",F,Experienced (non-manager),55 Water St Ny Ny,Bridge Inspection,New York City Residency is not required for this position,62370.0,93587.0,Senior,Other,31217.0,1,0,3,123,18,3,5,0,1
624843,DEPARTMENT OF TRANSPORTATION,Internal,1,BOB- Administrative Construction Project Manager,ADM CONSTRUCTION PRJ MGR-NM,Competitive-1,0,"Engineering, Architecture, & Planning",F,Experienced (non-manager),55 Water St Ny Ny,Bridge Repair/PM Headquarters,New York City Residency is not required for this position,58682.0,159671.0,Manager,Other,100989.0,1,0,3,123,18,3,3,0,1
626907,HOUSING PRESERVATION & DVLPMNT,External,1,Deputy Director of Grants Monitoring and Compliance,HOUSING DEVELOPMENT SPECIALIST,Competitive-1,2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),100 Gold Street,Budget Office,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",74041.0,85147.0,Director,Other,11106.0,1,1,3,135,33,3,0,0,0
